subsystem,reaction
"Transport, extracellular",FUC14GALACGLCGALGLUSIDEte
"Transport, golgi apparatus",FUC14GALACGLCGALGLUSIDEtg
"Transport, extracellular",FUCACGALFUCGALACGLCGALGLUSIDEte
"Transport, extracellular",FUCACNGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",FUCACNGAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",FUCACNGALACGLCGALGLUSIDEte
Keratan sulfate degradation,FUCASE2ly
N-glycan degradation,FUCASEe
"Transport, extracellular",FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
"Transport, golgi apparatus",FUCGALFUCGALACGLCGALGLUSIDEtg
"Transport, extracellular",FUCGALGBSIDEte
"Transport, golgi apparatus",FUCGALGBSIDEtg
"Transport, lysosomal",FUCtly
Tyrosine metabolism,FUMAC
"Transport, mitochondrial",FUMSO4tm
"Transport, mitochondrial",FUMtm
Blood group synthesis,FUT15g
Blood group synthesis,FUT16g
Blood group synthesis,FUT32g
Blood group synthesis,FUT911g
Blood group synthesis,FUT91g
Blood group synthesis,FUT94g
Blood group synthesis,FUT96g
Blood group synthesis,FUT97g
Blood group synthesis,FUT99g
Keratan sulfate synthesis,G14T20g
Keratan sulfate synthesis,G14T21g
Keratan sulfate synthesis,G14T2g
Keratan sulfate synthesis,G14T5g
Urea cycle,G5SDym
Pentose phosphate pathway,G6PDH1er
Pentose phosphate pathway,G6PDH2er
Glycolysis/gluconeogenesis,G6PPer
"Transport, extracellular",GABAVESSEC_1
Urea cycle,GACMTRc
"Transport, endoplasmic reticular",GACPAILter
"Transport, extracellular",GALACGLCGALGBSIDEte
"Transport, golgi apparatus",GALACGLCGALGBSIDEtg
Keratan sulfate degradation,GALASE10ly
Keratan sulfate degradation,GALASE12ly
Keratan sulfate degradation,GALASE13ly
Keratan sulfate degradation,GALASE15ly
Keratan sulfate degradation,GALASE16ly
Keratan sulfate degradation,GALASE17ly
Keratan sulfate degradation,GALASE19ly
N-glycan degradation,GALASE1ly
Keratan sulfate degradation,GALASE20ly
Keratan sulfate degradation,GALASE4ly
Keratan sulfate degradation,GALASE7ly
Keratan sulfate degradation,GALASE8ly
Keratan sulfate degradation,GALASE9ly
"Transport, golgi apparatus",GALFUC12GAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg
"Transport, golgi apparatus",GALGALGALTHCRMtg
Sphingolipid metabolism,GALGT2
Sphingolipid metabolism,GALGT3
Chondroitin synthesis,GALNACT1g
Chondroitin synthesis,GALNACT2g
Chondroitin synthesis,GALNACT3g
Chondroitin synthesis,GALNACT4g
Chondroitin synthesis,GALNACT5g
"Transport, golgi apparatus",GALSIDEtg
"Transport, lysosomal",GALSIDEtl
"Transport, extracellular",GALt1r
Chondroitin synthesis,GALT2g
"Transport, lysosomal",GALtly
Sphingolipid metabolism,GAO1g
Purine synthesis,GARFT
N-glycan degradation,GASNASE2ly
N-glycan degradation,GASNASEly
Sphingolipid metabolism,GBA
Sphingolipid metabolism,GBGT1
"Transport, extracellular",GBSIDEte
"Transport, lysosomal",GBSIDEtl
"Glycine, serine, alanine, and threonine metabolism",GCCam
"Transport, extracellular",GCHOLAt2
"Transport, extracellular",GD1B2te
"Transport, extracellular",GD1Cte
"Transport, golgi apparatus",GDPFUCtg
Fructose and mannose metabolism,GFUCS
Folate metabolism,GGH_10FTHF7GLUl
Folate metabolism,GGH_5THFl
Folate metabolism,GGH_6DHFl
Folate metabolism,GGH_7THFe
Glutathione metabolism,GGLUCT
"Glycine, serine, alanine, and threonine metabolism",GHMT2rm
Sphingolipid metabolism,GLAl
Sphingolipid metabolism,GLB1
Chondroitin sulfate degradation,GLCAASE4ly
Chondroitin sulfate degradation,GLCAASE6ly
Chondroitin sulfate degradation,GLCAASE7ly
Hyaluronan metabolism,GLCAASE8ly
Hyaluronan metabolism,GLCAASE9ly
Chondroitin synthesis,GLCAT4g
Chondroitin synthesis,GLCAT5g
Chondroitin synthesis,GLCAT6g
Chondroitin synthesis,GLCAT7g
Chondroitin synthesis,GLCAT8g
Heparan sulfate degradation,GLCNACASE5ly
Chondroitin synthesis,GLCNACDASg
Chondroitin synthesis,GLCNACT2g
Chondroitin synthesis,GLCNACT5g
"Transport, endoplasmic reticular",GLCter
"Transport, lysosomal",GLCtly
Starch and sucrose metabolism,GLGNS1
"Transport, extracellular",GLNALANaEx
"Transport, extracellular",GLNASNNaEx
"Transport, extracellular",GLNCYSNaEx
"Transport, mitochondrial",GLNtm
Starch and sucrose metabolism,GLPASE1
Starch and sucrose metabolism,GLPASE2
Vitamin C metabolism,GLRASE
"Transport, extracellular",GLUt6
Glyoxylate and dicarboxylate metabolism,GLXO2p
"Transport, peroxisomal",GLXtp
Urea cycle,GLYAMDTRc
"Transport, extracellular",GLYBt4_2_r
Glyoxylate and dicarboxylate metabolism,GLYCK2
Glyoxylate and dicarboxylate metabolism,GLYCLTDym
"Transport, peroxisomal",GLYCLTtp
"Transport, extracellular",GLYC_St
"Glycine, serine, alanine, and threonine metabolism",GLYOp
"Transport, extracellular",GLYt4
"Transport, extracellular",GLYt7_211_r
"Transport, mitochondrial",GLYtm
"Transport, extracellular",GLYVESSEC_1
"Transport, golgi apparatus",GMPtg
"Transport, nuclear",GMPtn
Pentose phosphate pathway,GNDer
"Glycine, serine, alanine, and threonine metabolism",GNMT
"Transport, golgi apparatus",GP1CALPHAtg
Triacylglycerol synthesis,GPAM_hs_1
Phosphatidylinositol phosphate metabolism,GPIDA2er
Phosphatidylinositol phosphate metabolism,GPIDAer
"Transport, extracellular",GQ1BALPHAte
"Transport, golgi apparatus",GQ1Btg
"Transport, extracellular",GT1Ate
"Transport, golgi apparatus",GT1Atg
Vitamin C metabolism,DHAOX_c
Glutamate metabolism,GTHOm
Glutathione metabolism,GTHPi
Glutathione metabolism,GTHPm
Glutathione metabolism,GTHS
"Transport, endoplasmic reticular",GULLACter
Pentose phosphate pathway,GULN3D
Pentose phosphate pathway,GULNDer
"Transport, endoplasmic reticular",GULNter
Pentose phosphate pathway,GUR1PP
Miscellaneous,HCO3Em
Tyrosine metabolism,H2O2syn
"Transport, extracellular",H2O2t
"Transport, mitochondrial",H2O2tm
"Transport, endoplasmic reticular",H2Oter
"Transport, golgi apparatus",H2Otg
Phosphatidylinositol phosphate metabolism,H3MTer_U
Phosphatidylinositol phosphate metabolism,H4ET3er
Phosphatidylinositol phosphate metabolism,H4ETer
Phosphatidylinositol phosphate metabolism,H6ET3er
Phosphatidylinositol phosphate metabolism,H7ET2er
Tryptophan metabolism,HACD1x
"Valine, leucine, and isoleucine metabolism",HACD9m
Hyaluronan metabolism,HAS1
"Transport, lysosomal",HAtly
Ubiquinone synthesis,HBZOPT10m
"Transport, extracellular",HCO3_CLt
"Transport, extracellular",HCOUMARINte
"Transport, extracellular",HDCAt
"Transport, peroxisomal",HDD2COAtx
"Transport, extracellular",HESTRATRIOLte
"Transport, endoplasmic reticular",HESTRATRIOLtr
Fructose and mannose metabolism,HEX4
"Transport, extracellular",HEXCt
Histidine metabolism,HISDC
"Transport, extracellular",HISt4
"Transport, extracellular",HISTAVESSEC_1
Cholesterol metabolism,HMGCOASm
"Transport, mitochondrial",HMGCOAtm
"Transport, peroxisomal",HMGCOAtx
Cholesterol metabolism,HMGLm
Cholesterol metabolism,HMGLx
"Transport, extracellular",HOMt4
"Transport, extracellular",HPACtr
Fatty acid oxidation,HPDCACRNCPT1
Fatty acid oxidation,HPDCACRNCPT2
Glyoxylate and dicarboxylate metabolism,HPYRDCm
Glyoxylate and dicarboxylate metabolism,HPYRR2x_1
"Transport, peroxisomal",HPYRtp
Heparan sulfate degradation,HS2ly
Heparan sulfate degradation,HSAT2ly
Heparan sulfate degradation,HSAT3ly
Bile acid synthesis,HSD17B42x_1
Bile acid synthesis,HSD17B4x
Steroid metabolism,HSD17B7r
Steroid metabolism,HSD17B8r
Steroid metabolism,HSD17B9r
Steroid metabolism,HSD3A1r
Steroid metabolism,HSD3B11
Steroid metabolism,HSD3B12r
Steroid metabolism,HSD3B13
Steroid metabolism,HSD3B3r
Bile acid synthesis,HSD3B7P
Heparan sulfate degradation,HSPASEly
"Transport, extracellular",HSPGt
"Transport, extracellular",HTAXOLte
"Transport, peroxisomal",Htx
"Transport, peroxisomal",HXANtx
Taurine and hypotaurine metabolism,HYPTROX_cho
Citric acid cycle,ICDHyr
Citric acid cycle,ICDHyp
Tyrosine metabolism,IDHPOXOX2b
Tyrosine metabolism,IDHPOXOX3
Tyrosine metabolism,IDHPOXOX4
Tyrosine metabolism,IDHPOXOXb
Heparan sulfate degradation,IDOAASE3ly
Chondroitin sulfate degradation,IDOAASE4ly
"Transport, lysosomal",IDOURtly
"Transport, nuclear",IDPtn
"Transport, extracellular",ILEt4
"Transport, mitochondrial",ILEtmi
"Valine, leucine, and isoleucine metabolism",ILETAm
Inositol phosphate metabolism,INOSTO
"Transport, extracellular",INSt
"Transport, extracellular",INSTt2
"Transport, extracellular",INSTt4
"Transport, peroxisomal",IPDPtx
C5-branched dibasic acid metabolism,ITCOALm
"Transport, nuclear",ITPtn
Fatty acid synthesis,KAS8
"Transport, extracellular",KCC2t
"Transport, extracellular",KCCt
Fructose and mannose metabolism,KHK
Glyoxylate and dicarboxylate metabolism,KHK2
"Transport, lysosomal",KSII_CORE2tly
"Transport, extracellular",KSII_CORE4t
"Transport, lysosomal",KSItly
Tryptophan metabolism,KYN3OX
Tryptophan metabolism,KYNATESYN
Galactose metabolism,LACZe
Pyruvate metabolism,LALDO
CoA catabolism,LAPCOAl
Pyruvate metabolism,LCADi_D
"Transport, extracellular",LCTStg
Methionine and cysteine metabolism,LCYSTAT
Taurine and hypotaurine metabolism,LCYSTCBOXL
"Transport, endoplasmic reticular",LEUKTRA4tr
"Transport, extracellular",LEUKTRB4t
"Transport, endoplasmic reticular",LEUKTRB4tr
"Transport, extracellular",LEUKTRC4t
"Transport, extracellular",LEUKTRD4t
"Transport, extracellular",LEUKTRE4t
"Transport, extracellular",LEUKTRF4t
"Valine, leucine, and isoleucine metabolism",LEUTAm
"Transport, peroxisomal",TTCCOAtx
"Transport, extracellular",LIMNENte
Heparan sulfate degradation,LINKDEG1ly
Chondroitin sulfate degradation,LINKDEG2ly
Chondroitin sulfate degradation,LINKDEG3ly
"Transport, extracellular",LIPOti_1
"Transport, mitochondrial",L_LACtcm
Fatty acid oxidation,LNLCCPT1
Fatty acid oxidation,LNLCCPT2
Fatty acid oxidation,LNLCCRNt
"Transport, extracellular",LNLCt
"Transport, extracellular",LNLNCAt
Fatty acid oxidation,LNLNCGCPT2
Fatty acid oxidation,LNLNCGCRNt
"Transport, extracellular",LNLNCGt
Glycerophospholipid metabolism,LPASE
Triacylglycerol synthesis,LPS2
Fatty acid oxidation,LPS3e
Triacylglycerol synthesis,LPS4e
Vitamin A metabolism,LRAT1
Vitamin A metabolism,LRAT2
Cholesterol metabolism,LSTO1r
Eicosanoid metabolism,LTC4CP
Eicosanoid metabolism,LTC4Sr
Tryptophan metabolism,LTDCL
"Transport, extracellular",LYSt4
"Transport, mitochondrial",LYStm
"Transport, nuclear",LYStn
Phosphatidylinositol phosphate metabolism,M4BTAer
Phosphatidylinositol phosphate metabolism,M4CET3er
Tyrosine metabolism,MACACI
Starch and sucrose metabolism,MALTe
Starch and sucrose metabolism,MALTly
"Transport, mitochondrial",MALtm
"Transport, extracellular",MALTt1r
"Transport, extracellular",MANt1r
"Transport, lysosomal",MANtly
Fatty acid oxidation,MCDp
Methionine and cysteine metabolism,MCLACCYSR
Methionine and cysteine metabolism,MCLORi
Methionine and cysteine metabolism,MCPST
Arginine and proline metabolism,MDRPD
Pyruvate metabolism,ME1m
Pyruvate metabolism,ME2m
C5-branched dibasic acid metabolism,MECOALm
C5-branched dibasic acid metabolism,MECOAS1m
Tryptophan metabolism,MELATN23DOX
Tryptophan metabolism,MELATNOX
"Transport, extracellular",MEOHt2
C5-branched dibasic acid metabolism,MESCOALm
Methionine and cysteine metabolism,METAT
Methionine and cysteine metabolism,METS
"Transport, extracellular",METtec
C5-branched dibasic acid metabolism,MGACONm
Pyruvate metabolism,MGSA2
Histidine metabolism,MHISOR
Inositol phosphate metabolism,MI1345PP
Inositol phosphate metabolism,MI134P4P
Inositol phosphate metabolism,MI134PP
Inositol phosphate metabolism,MI145PK
Inositol phosphate metabolism,MI145PP
Inositol phosphate metabolism,MI14PP
"Transport, nuclear",MI1P_Dtn
"Valine, leucine, and isoleucine metabolism",MMCDm
"Valine, leucine, and isoleucine metabolism",MMEm
"Valine, leucine, and isoleucine metabolism",MMMm
"Valine, leucine, and isoleucine metabolism",MMSAD1m
"Valine, leucine, and isoleucine metabolism",MMTSADm
Triacylglycerol synthesis,MOGAT
Folate metabolism,MTHFCm
Folate metabolism,MTHFD2m
O-glycan metabolism,N3Tg
Arginine and proline metabolism,NABTNO
Alanine and aspartate metabolism,NACASPAH
Keratan sulfate degradation,NACHEX10ly
Keratan sulfate degradation,NACHEX13ly
Keratan sulfate degradation,NACHEX16ly
Keratan sulfate degradation,NACHEX17ly
Chondroitin sulfate degradation,NACHEX1ly
Keratan sulfate degradation,NACHEX20ly
Keratan sulfate degradation,NACHEX25ly
Keratan sulfate degradation,NACHEX26ly
Hyaluronan metabolism,NACHEX27ly
Chondroitin sulfate degradation,NACHEX3ly
Chondroitin sulfate degradation,NACHEX5ly
Chondroitin sulfate degradation,NACHEX6ly
Chondroitin sulfate degradation,NACHEX7ly
Chondroitin sulfate degradation,NACHEX8ly
Chondroitin sulfate degradation,NACHEX9ly
Keratan sulfate degradation,NACHEXA10ly
Keratan sulfate degradation,NACHEXA11ly
Keratan sulfate degradation,NACHEXA12ly
Keratan sulfate degradation,NACHEXA13ly
Keratan sulfate degradation,NACHEXA15ly
Keratan sulfate degradation,NACHEXA18ly
Keratan sulfate degradation,NACHEXA20ly
Keratan sulfate degradation,NACHEXA21ly
Chondroitin sulfate degradation,NACHEXA2ly
Chondroitin sulfate degradation,NACHEXA3ly
Chondroitin sulfate degradation,NACHEXA4ly
Chondroitin sulfate degradation,NACHEXA5ly
Chondroitin sulfate degradation,NACHEXA7ly
Keratan sulfate degradation,NACHEXA9ly
"Transport, extracellular",NACt
"Transport, endoplasmic reticular",NADHtru
NAD metabolism,NADNe
"Transport, endoplasmic reticular",NADPHtru
"Transport, endoplasmic reticular",NADPtru
"Transport, peroxisomal",NADPtxu
"Transport, nuclear",NADtn
"Transport, endoplasmic reticular",NADtru
Sphingolipid metabolism,NAGAlby
"Transport, extracellular",NAIt
"Transport, golgi apparatus",NAt3_1g
Beta-Alanine metabolism,NBAHH_ir
"Transport, extracellular",NCCt
Nucleotide interconversion,NDP7g
Nucleotide interconversion,NDP8
Nucleotide interconversion,NDP8ex
Inositol phosphate metabolism,PI3P4Kn
Nucleotide interconversion,NDPK3m
Nucleotide interconversion,NDPK4m
Nucleotide interconversion,NDPK4n
Nucleotide interconversion,NDPK6m
Nucleotide interconversion,NDPK7m
Nucleotide interconversion,NDPK7n
Nucleotide interconversion,NDPK9n
"Transport, nuclear",NH4tn
"Transport, peroxisomal",NH4tp
NAD metabolism,NICRNS
"Transport, nuclear",NICRNTtn
"Transport, extracellular",NIFEDIPINEte
"Transport, extracellular",NKCC2t
Arginine and proline metabolism,NOS2_2
Tyrosine metabolism,NRPPHRSULT
"Transport, peroxisomal",NRVNCCOAtx
O-glycan metabolism,NS26T2g
O-glycan metabolism,NS26Tg
Nucleotide interconversion,NTD12
Nucleotide interconversion,NTD1m
Pyrimidine catabolism,NTD2l
Nucleotide interconversion,NTD4e
Nucleotide interconversion,NTD5m
Nucleotide interconversion,NTD7e
Nucleotide interconversion,NTD9e
Purine catabolism,NTD9l
Starch and sucrose metabolism,O16G1e
Starch and sucrose metabolism,O16G2e
"Transport, mitochondrial",O2Stm
"Transport, nuclear",O2Stn
"Transport, endoplasmic reticular",O2ter
"Transport, nuclear",O2tn
Urea cycle,OCBTm
"Transport, mitochondrial",OCCOAtm
"Transport, peroxisomal",OCCOAtx
"Valine, leucine, and isoleucine metabolism",OIVD2m
"Transport, extracellular",OMEPRAZOLEte
Vitamin A metabolism,ORETNF
"Transport, mitochondrial",ORNt4m
"Transport, extracellular",ORNt
"Transport, peroxisomal",OXAtp
Steroid metabolism,P45011B21m
Steroid metabolism,P45017A2r
Steroid metabolism,P45017A3r
Steroid metabolism,P45017A4r
Steroid metabolism,P45019A1r
Steroid metabolism,P45021A1r
Bile acid synthesis,P45027A11m
Bile acid synthesis,P45027A13m
Bile acid synthesis,P45027A14m
Bile acid synthesis,P45027A15m
Cytochrome metabolism,P4502A6
Cytochrome metabolism,P4502C18
Cytochrome metabolism,P4502C8
Limonene and pinene degradation,P4502C92
Cytochrome metabolism,P4502D6
Cytochrome metabolism,P4502E1
Cytochrome metabolism,P4503A4
Bile acid synthesis,P45046A1r
Eicosanoid metabolism,P4504F122r
Cytochrome metabolism,P4504F123r
Eicosanoid metabolism,P4504F81r
Bile acid synthesis,P4507A1r
Bile acid synthesis,P4507B11r
Bile acid synthesis,P4507B12r
Bile acid synthesis,P4508B11r
Eicosanoid metabolism,P450LTB4r
Arginine and proline metabolism,P5CRm
"Transport, endoplasmic reticular",PA_HSter
"Transport, nuclear",PAIL_HStn
"Transport, nuclear",PAIL45P_HStn
"Transport, golgi apparatus",PAPStg
"Transport, golgi apparatus",PAPtg
"Transport, mitochondrial",PCFLOPm
"Transport, endoplasmic reticular",PCHOL_HSter
Glycerophospholipid metabolism,PCHOLP_hs
Glycerophospholipid metabolism,PCHOLPg_hs
Glycerophospholipid metabolism,PCHOLPr_hs
Urea cycle,PCREATtmdiffir
Fatty acid oxidation,PCRNtc
Fatty acid oxidation,PCRNtm
Nucleotide interconversion,PDE1
Nucleotide interconversion,PDE1g
Inositol phosphate metabolism,PI34P5K
Inositol phosphate metabolism,PI34P5Kn
Inositol phosphate metabolism,PI3P4K
Nucleotide interconversion,PDE4
Nucleotide interconversion,PDE4g
Glycolysis/gluconeogenesis,PDHm
Vitamin B6 metabolism,PDXPP
"Transport, extracellular",PEFLIP
"Transport, extracellular",PERILLYLte
Fatty acid oxidation,PEROXx
Glycerophospholipid metabolism,PETHCT
"Glycine, serine, alanine, and threonine metabolism",PGCD
Eicosanoid metabolism,PGDI
Pentose phosphate pathway,PGLer
"Transport, extracellular",PGLYCt
Glycerophospholipid metabolism,PGPP_hs
Glycerophospholipid metabolism,PGPPT
Arginine and proline metabolism,PHCHGSm
"Transport, extracellular",PHEACGLNt
"Transport, mitochondrial",PHEMEtm
"Transport, extracellular",PHEt4
Phenylalanine metabolism,PHETA1m
Phenylalanine metabolism,PHYCBOXL
Fatty acid oxidation,PHYHx
"Transport, extracellular",PHYQt
"Transport, extracellular",PHYTt
Inositol phosphate metabolism,PI345P5P
Inositol phosphate metabolism,PI34P3Pn
Inositol phosphate metabolism,PI34P4Pn
Inositol phosphate metabolism,PI45P3K
Inositol phosphate metabolism,PI45P5P
Inositol phosphate metabolism,PI4P3Kn
Inositol phosphate metabolism,PI4PLC
Inositol phosphate metabolism,PI4PLCn
Inositol phosphate metabolism,PI5P4Kn
Phosphatidylinositol phosphate metabolism,PIACGT
"Transport, extracellular",PROSTGE1t
"Transport, extracellular",PROSTGE2t
Inositol phosphate metabolism,PIK4n
Inositol phosphate metabolism,PIK5n
Inositol phosphate metabolism,PIPLC
Inositol phosphate metabolism,PIPLCn
"Transport, endoplasmic reticular",PIter
"Transport, golgi apparatus",PItg
"Transport, nuclear",PItn
"Transport, peroxisomal",PItx
Glycerophospholipid metabolism,PLA2_2
Glycerophospholipid metabolism,PLA2_2e
Inositol phosphate metabolism,PMI12346PH
CoA catabolism,PNTEH
Miscellaneous,PPA2
Miscellaneous,PPAer
Oxidative phosphorylation,PPAm
Triacylglycerol synthesis,PPAP
Lysine metabolism,PPD2CSPp
Pyruvate metabolism,PPDOy
"Transport, endoplasmic reticular",PPItr
"Transport, nuclear",PPMI12346Ptn
Phenylalanine metabolism,PPOR
Heme synthesis,PPPG9tm
Heme synthesis,PPPGOm
Purine synthesis,PRASCSi
Miscellaneous,PRDXl
Steroid metabolism,PRGNLONESULT
"Transport, endoplasmic reticular",PRGNLONEtr
"Transport, extracellular",PRGSTRNt
"Transport, peroxisomal",PRISTCOAtx
"Transport, peroxisomal",PRISTtx
Arginine and proline metabolism,PROD2m
"Transport, extracellular",PROSTGE2t2
"Transport, extracellular",PROSTGE2t3
"Transport, extracellular",PROSTGI2t
"Transport, extracellular",PROt4
"Transport, mitochondrial",PROtm
"Transport, extracellular",PSFLIP
"Transport, mitochondrial",PSFLIPm
Fatty acid oxidation,PTDCACRNCPT2
Fatty acid oxidation,PTE4x
Arginine and proline metabolism,PTRCOX1
Vitamin D metabolism,PVD3
Vitamin B6 metabolism,PYDXK
Vitamin B6 metabolism,PYDXPP
Pyrimidine catabolism,PYNP2r
D-alanine metabolism,PYRt2p
Tryptophan metabolism,QUILSYN
Vitamin A metabolism,RADH2
Vitamin A metabolism,RADH3
Vitamin A metabolism,RAI1
Vitamin A metabolism,RAI2
Vitamin A metabolism,RAI3
Vitamin A metabolism,RAI4
"Transport, nuclear",RAtn3
Pentose phosphate pathway,RBK_Dr
Vitamin A metabolism,RDH1
Vitamin A metabolism,RDH1a
Vitamin A metabolism,RDH2
Vitamin A metabolism,RDH2a
Vitamin A metabolism,RDH4
Vitamin A metabolism,RETFA
"Transport, extracellular",RETFAt
"Transport, extracellular",RETFAt1
Vitamin A metabolism,RETH2e
Vitamin A metabolism,RETHe
"Transport, endoplasmic reticular",RETNGLCt2r
"Transport, endoplasmic reticular",RETNGLCtr
